Table_ID,Cell_ID,Cell_Label,Cell_Label_Tier1,Cell_Label_Tier2,Cell_Label_Tier3,Cell_Label_Tier4,Cell_Label_Tier5,Cell_Label_Short_Tier1,Cell_Label_Short_Tier2,Cell_Label_Short_Tier3,Cell_Label_Short_Tier4,Cell_Label_Short_Tier5,EW_Count,n_Interior_Cells
ts013,ts0130003,Europe: United Kingdom,NA,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,NA,United Kingdom,United Kingdom,United Kingdom,United Kingdom,45688445,51
ts013,ts0130004,Europe: Ireland,NA,Europe: Ireland,Europe: Ireland,Europe: Ireland,Europe: Ireland,NA,Ireland,Ireland,Ireland,Ireland,364726,51
ts013,ts0130005,Europe: Other Europe,NA,Europe: Other Europe,NA,NA,NA,NA,Other Europe,NA,NA,NA,3692384,51
ts013,ts0130006,Europe: Other Europe: EU Member countries,NA,NA,Europe: Other Europe: EU Member countries,NA,NA,NA,NA,EU Member countries,NA,NA,3520436,51
ts013,ts0130007,Europe: Other Europe: EU Member countries: France,NA,NA,NA,Europe: Other Europe: EU Member countries: France,Europe: Other Europe: EU Member countries: France,NA,NA,NA,EU Member countries: France,EU Member countries: France,163517,51
ts013,ts0130008,Europe: Other Europe: EU Member countries: Germany,NA,NA,NA,Europe: Other Europe: EU Member countries: Germany,Europe: Other Europe: EU Member countries: Germany,NA,NA,NA,EU Member countries: Germany,EU Member countries: Germany,119354,51
ts013,ts0130009,Europe: Other Europe: EU Member countries: Italy,NA,NA,NA,Europe: Other Europe: EU Member countries: Italy,Europe: Other Europe: EU Member countries: Italy,NA,NA,NA,EU Member countries: Italy,EU Member countries: Italy,368738,51
ts013,ts0130010,Europe: Other Europe: EU Member countries: Portugal,NA,NA,NA,Europe: Other Europe: EU Member countries: Portugal,Europe: Other Europe: EU Member countries: Portugal,NA,NA,NA,EU Member countries: Portugal,EU Member countries: Portugal,286489,51
ts013,ts0130011,Europe: Other Europe: EU Member countries: Spain,NA,NA,NA,Europe: Other Europe: EU Member countries: Spain,Europe: Other Europe: EU Member countries: Spain,NA,NA,NA,EU Member countries: Spain,EU Member countries: Spain,216728,51
ts013,ts0130012,Europe: Other Europe: EU Member countries: Lithuania,NA,NA,NA,Europe: Other Europe: EU Member countries: Lithuania,Europe: Other Europe: EU Member countries: Lithuania,NA,NA,NA,EU Member countries: Lithuania,EU Member countries: Lithuania,185159,51
ts013,ts0130013,Europe: Other Europe: EU Member countries: Poland,NA,NA,NA,Europe: Other Europe: EU Member countries: Poland,Europe: Other Europe: EU Member countries: Poland,NA,NA,NA,EU Member countries: Poland,EU Member countries: Poland,760146,51
ts013,ts0130014,Europe: Other Europe: EU Member countries: Romania,NA,NA,NA,Europe: Other Europe: EU Member countries: Romania,Europe: Other Europe: EU Member countries: Romania,NA,NA,NA,EU Member countries: Romania,EU Member countries: Romania,550298,51
ts013,ts0130015,Europe: Other Europe: EU Member countries: Other EU countries,NA,NA,NA,Europe: Other Europe: EU Member countries: Other EU countries,Europe: Other Europe: EU Member countries: Other EU countries,NA,NA,NA,EU Member countries: Other EU countries,EU Member countries: Other EU countries,870007,51
ts013,ts0130016,Europe: Other Europe: Rest of Europe,NA,NA,Europe: Other Europe: Rest of Europe,NA,NA,NA,NA,Rest of Europe,NA,NA,171948,51
ts013,ts0130017,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Rest of Europe: Turkey,Rest of Europe: Turkey,45438,51
ts013,ts0130018,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Rest of Europe: Other Europe,Rest of Europe: Other Europe,126510,51
ts013,ts0130019,Africa,Africa,NA,NA,NA,NA,Africa,NA,NA,NA,NA,378306,51
ts013,ts0130020,Africa: North Africa,NA,Africa: North Africa,Africa: North Africa,Africa: North Africa,Africa: North Africa,NA,North Africa,North Africa,North Africa,North Africa,54372,51
ts013,ts0130021,Africa: Central and Western Africa,NA,Africa: Central and Western Africa,NA,NA,NA,NA,Central and Western Africa,NA,NA,NA,195158,51
ts013,ts0130022,Africa: Central and Western Africa: Ghana,NA,NA,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana,NA,NA,Ghana,Ghana,Ghana,47975,51
ts013,ts0130023,Africa: Central and Western Africa: Nigeria,NA,NA,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria,NA,NA,Nigeria,Nigeria,Nigeria,117638,51
